toplam_maliyet,siparis_maliyeti_toplam,elde_tutma_toplam,stoksuz_ceza_toplam,servis_seviyesi,ortalama_stok,stoksuz_gun_sayisi,toplam_talep,karsilanan_talep,parca_no,kullanilan_r,kullanilan_Q,senaryo
146017.6593,2400.0,19586.4174,124031.2419,0.9829,2323.6547,0.3,6649.9694,6477.4738,Part-133,3947,347,mevcut
31347555.0346,9000.0,686254.3368,30652300.6978,0.8084,833.5637,3.3,5342.0059,4114.1423,Part-134,4822,36,mevcut
9827.7425,430.0,2600.6176,6797.125,0.9691,1999.3765,1.6,7542.2183,7315.7229,Part-135,1593,1389,mevcut
117411.6539,2265.0,10499.3611,104647.2928,0.9502,844.9219,4.6,6890.4008,6528.3997,Part-136,1732,377,mevcut
6746223.8634,14760.0,1263196.0776,5468267.7858,0.9781,2273.436,0.1,5569.043,5376.7862,Part-137,3575,70,mevcut
1192230.3193,26070.0,755330.8679,410829.4515,0.9914,1791.5168,0.2,3058.3666,3027.9023,Part-138,5344,81,mevcut
3758.6721,690.0,2480.9557,587.7164,0.9988,1965.6695,0.1,3829.7767,3823.6756,Part-139,2677,798,mevcut
109661840.1107,8400.0,995630.9245,108657809.1862,0.7706,1627.0678,16.0,18075.1268,13606.8208,Part-140,5481,100,mevcut
1003509.165,4880.0,157893.2958,840735.8692,0.967,2309.8433,1.1,8804.6464,8405.2014,Part-141,4792,217,mevcut
11706.2389,1230.0,4017.3529,6458.886,0.991,2587.3098,0.7,4664.5803,4609.3478,Part-142,3737,910,mevcut
21505709.388,7950.0,507694.0509,20990065.3371,0.8627,2384.927,3.1,13135.335,11034.9443,Part-143,3171,146,mevcut
125260.1931,2120.0,16655.1981,106484.9951,0.9848,2654.6983,0.9,12136.9924,11896.6634,Part-144,4821,575,mevcut
276198.4482,2152.5,29707.6992,244338.249,0.9707,2086.822,1.8,6857.9208,6578.2327,Part-145,3594,263,mevcut
12690117.386,15150.0,465687.0592,12209280.3268,0.8882,898.3904,2.3,4109.8874,3573.2428,Part-146,1223,57,mevcut
8620561.2804,17300.0,880497.3839,7722763.8965,0.9693,3979.3794,0.4,12570.3362,12024.9725,Part-147,10059,177,mevcut
18355.1024,1117.5,10874.4675,6363.1349,0.9954,1606.3407,0.1,4725.3938,4706.7078,Part-148,1860,358,mevcut
675558.7733,3620.0,25944.9066,645993.8667,0.9332,580.5065,4.9,4299.9732,3956.1638,Part-149,1319,109,mevcut
193602.9286,3375.0,31738.0888,158489.8399,0.9779,1257.331,1.2,3872.5304,3747.3113,Part-150,2177,209,mevcut
418631.835,2120.0,43586.5283,372925.3067,0.917,1166.7879,2.4,5578.9943,5093.1677,Part-151,1465,232,mevcut
1920213.8634,7040.0,255199.5082,1657974.3551,0.9772,1450.3386,1.0,5710.4381,5541.8721,Part-152,2700,72,mevcut
1410173.1367,12600.0,358954.987,1038618.1496,0.9808,957.8822,0.2,2582.9155,2505.1772,Part-153,1748,47,mevcut
15640081.3901,3785.0,312462.1169,15323834.2732,0.8541,794.0481,5.3,5333.5318,4420.3944,Part-154,1743,39,mevcut
288754.3828,1800.0,34424.1952,252530.1876,0.9651,1407.2519,1.9,4507.9394,4320.7871,Part-155,2002,267,mevcut
46014.6103,1490.0,6505.5265,38019.0839,0.9824,612.5484,1.1,2932.9357,2866.6403,Part-156,1134,208,mevcut
49826891.0006,3800.0,322130.0299,49500960.9707,0.7013,708.7563,10.0,10265.2142,6857.4583,Part-157,1964,55,mevcut
330995.9152,2000.0,17804.0588,311191.8564,0.9516,582.256,4.4,5122.2181,4840.1882,Part-158,790,217,mevcut
53525.4311,2850.0,39539.2588,11136.1723,0.9946,2126.4526,0.1,3166.7252,3144.2419,Part-159,3568,151,mevcut
6419566.5672,7560.0,744469.1031,5667537.4641,0.9382,1387.1134,1.1,4868.3977,4452.0148,Part-160,2666,53,mevcut
2530757.0451,13500.0,668106.2573,1849150.7878,0.9756,1068.8764,0.2,3054.6809,2940.8794,Part-161,4166,39,mevcut
64443.632,3450.0,17552.6365,43440.9956,0.9833,2764.5057,0.2,7086.4321,6899.5489,Part-162,3931,1250,mevcut
114047.3771,1230.0,5642.4594,107174.9177,0.9566,1218.937,4.4,5488.7968,5171.6643,Part-163,1996,672,mevcut
44707.5446,2090.0,42617.5446,0.0,1.0,2475.1945,0.0,4727.6052,4727.6052,Part-164,3192,264,mevcut
133698.6562,1850.0,8480.5037,123368.1525,0.9509,1197.4488,3.8,6195.7486,5827.7052,Part-165,1983,342,mevcut
366119.1522,3230.0,63771.6509,299117.5013,0.9792,1280.9631,0.5,4576.1438,4441.9701,Part-166,2385,168,mevcut
3944788.3038,6750.0,288000.5133,3650037.7905,0.926,771.2928,1.4,3237.49,2925.3422,Part-167,2858,36,mevcut
7184118.9281,3802.5,206653.4297,6973662.9984,0.8645,1164.6655,3.2,5780.2724,4871.9347,Part-168,1468,63,mevcut
3584.4716,720.0,2864.4716,0.0,1.0,2828.5091,0.0,3112.1773,3112.1773,Part-169,3757,565,mevcut
27776.8173,1740.0,8845.6798,17191.1375,0.9922,2268.123,0.7,8180.2367,8095.9168,Part-170,3848,865,mevcut
10006975.7467,8850.0,383291.4259,9614834.3209,0.953,959.481,3.0,6521.3706,6150.5356,Part-171,1585,79,mevcut
3812316.0264,9105.0,177552.6,3625658.4264,0.9291,1017.1054,3.9,6543.7362,5979.4243,Part-172,2047,81,mevcut
7912771.5653,31800.0,1265013.2678,6615958.2975,0.9743,1996.1585,0.4,6474.2428,6223.7662,Part-173,3493,112,mevcut
9952254.4656,6750.0,414028.7952,9531475.6704,0.8522,630.5173,2.9,3512.4407,2869.3889,Part-174,5167,27,mevcut
292023.9145,5300.0,25072.7579,261651.1566,0.9717,1929.7128,2.6,10514.516,10144.0523,Part-175,3557,995,mevcut
3480520.8278,3890.0,194819.6729,3281811.1548,0.8949,842.5342,2.4,3234.91,2835.3902,Part-176,929,48,mevcut
173360.0208,2482.5,34197.7613,136679.7595,0.9804,1023.4036,1.2,5041.576,4914.4344,Part-177,2125,171,mevcut
485653.9917,8670.0,100400.1095,376583.8823,0.983,971.5379,2.0,5437.0269,5320.6863,Part-178,1853,171,mevcut
594334.4303,2530.0,47405.0126,544399.4177,0.9709,683.1973,1.9,4102.3549,3967.292,Part-179,879,140,mevcut
241284.4293,4790.0,110057.8474,126436.5819,0.99,2596.6838,0.1,5842.888,5750.2646,Part-180,4261,148,mevcut
36509.139,967.5,6176.9454,29364.6937,0.9829,2063.108,0.3,6099.779,5935.5102,Part-181,3279,559,mevcut
381094.218,3080.0,25779.7354,352234.4826,0.9596,625.6849,4.2,3614.0351,3435.8563,Part-182,1248,109,mevcut
19864.9671,2750.0,17114.9671,0.0,1.0,1384.6101,0.0,2100.8302,2100.8302,Part-183,1745,560,mevcut
1015220.5588,3430.0,107695.7565,904094.8023,0.971,1067.4753,1.3,3956.7546,3805.002,Part-184,1841,113,mevcut
113803.2084,3050.0,11582.3542,99170.8542,0.9788,1106.3326,2.0,5272.0418,5137.3555,Part-185,957,648,mevcut
247402.9439,2980.0,31450.7878,212972.1561,0.9812,779.1268,1.8,4084.2931,3989.9901,Part-186,1688,159,mevcut
5805982.2888,5812.5,316031.8016,5484137.9871,0.959,1137.7218,2.6,6268.3716,5944.1584,Part-187,2521,70,mevcut
71780.613,2325.0,39215.452,30240.161,0.9938,1604.2695,0.2,2447.283,2427.3218,Part-188,2613,139,mevcut
3665574.9554,6150.0,297425.3291,3361999.6262,0.9421,880.3045,1.5,3254.444,3012.6098,Part-189,1489,49,mevcut
22629.8137,1785.0,20844.8137,0.0,1.0,1019.171,0.0,1982.5203,1982.5203,Part-190,1569,115,mevcut
35622.4689,2955.0,21435.9318,11231.5371,0.9966,2032.2271,0.3,4143.0584,4121.5729,Part-191,3138,296,mevcut
173351.4786,3922.5,169428.9786,0.0,1.0,1214.3991,0.0,1914.7041,1914.7041,Part-192,2098,61,mevcut
284455.4415,2260.0,28444.6298,253750.8116,0.9487,2035.5396,3.3,9279.3446,8708.001,Part-193,3100,660,mevcut
118319.3074,2900.0,19351.4714,96067.836,0.9796,726.8977,1.2,2608.8654,2537.2478,Part-194,1293,223,mevcut
590885.9658,1800.0,25257.8018,563828.164,0.9295,1100.5578,3.1,4092.9333,3752.9009,Part-195,1506,191,mevcut
1777303.9475,7560.0,146782.1747,1622961.7728,0.9614,3106.8392,1.6,10743.351,10181.5315,Part-196,5547,306,mevcut
21668.367,2730.0,18938.367,0.0,1.0,1392.6733,0.0,3410.7163,3410.7163,Part-197,1822,480,mevcut
150829.6499,2595.0,35319.3755,112915.2744,0.9851,1328.9237,0.3,3234.1729,3163.288,Part-198,2156,256,mevcut
802230.4497,3810.0,161822.8488,636597.6009,0.9845,906.5249,1.1,3725.8414,3653.889,Part-199,1344,82,mevcut
233111.7162,3560.0,135721.0338,93830.6824,0.995,1818.3105,0.2,3857.7877,3827.6043,Part-200,2789,130,mevcut
120065600.2321,11580.0,1284341.8364,118769678.3956,0.7737,3028.7387,18.3,26841.3556,20572.2285,Part-201,3245,174,mevcut
42598.0296,1740.0,16409.1715,24448.8581,0.9867,2659.2629,0.8,6835.0696,6693.7304,Part-202,3927,405,mevcut
39972.9555,2720.0,27042.5734,10210.3821,0.9952,1180.9942,0.1,2373.5696,2358.5898,Part-203,1926,130,mevcut
2849586.2398,6127.5,411439.2333,2432019.5065,0.9667,842.6652,0.5,2792.2614,2663.2203,Part-204,2004,40,mevcut
19333.697,580.0,2694.4243,16059.2727,0.9799,485.7069,1.7,2172.6623,2129.0668,Part-205,441,309,mevcut
