parca_no,mevcut_r,mevcut_Q,onerilen_r,onerilen_Q,optimize_maliyet,servis_seviyesi,ortalama_stok,stoksuz_gun,hedef_servis_saglandir,r_degisimi,Q_degisimi,mevcut_maliyet,maliyet_tasarrufu,tasarruf_orani
Part-133,3947,347,3565,4255,60009.5,0.9951,3426.8759,0.1,True,-382,3908,146017.6593,86008.16,58.9
Part-134,4822,36,2895,2246,2380822.45,0.9983,2527.2294,0.1,True,-1927,2210,31347555.0346,28966732.58,92.41
Part-135,1593,1389,1763,1911,3238.64,1.0,2220.8079,0.0,True,170,522,9827.7425,6589.1,67.05
Part-136,1732,377,2665,865,22003.5,1.0,1668.0978,0.0,True,933,488,117411.6539,95408.15,81.26
Part-137,3575,70,3081,858,1458540.13,1.0,2622.4507,0.0,True,-494,788,6746223.8634,5287683.73,78.38
Part-138,5344,81,1775,977,923207.59,0.9938,1394.9929,0.1,True,-3569,896,1192230.3193,269022.73,22.56
Part-139,2677,798,2074,1716,3213.02,0.9988,1834.4228,0.1,True,-603,918,3758.6721,545.65,14.52
Part-140,5481,100,5176,2350,2331653.07,1.0,3809.18,0.0,True,-305,2250,109661840.1107,107330187.04,97.87
Part-141,4792,217,4661,2910,452080.35,0.9912,3542.7679,0.7,True,-131,2693,1003509.165,551428.82,54.95
Part-142,3737,910,2427,2216,10278.95,0.991,2151.112,0.7,True,-1310,1306,11706.2389,1427.29,12.19
Part-143,3171,146,2776,4958,921431.35,1.0,4326.6537,0.0,True,-395,4812,21505709.388,20584278.04,95.72
Part-144,4821,575,5415,1774,22890.95,1.0,3524.2996,0.0,True,594,1199,125260.1931,102369.24,81.73
Part-145,3594,263,3718,2884,51971.16,0.9994,3291.1587,0.1,True,124,2621,276198.4482,224227.29,81.18
Part-146,1223,57,983,1611,762729.43,1.0,1469.9893,0.0,True,-240,1554,12690117.386,11927387.96,93.99
Part-147,10059,177,6814,5286,1458647.52,0.9995,6041.5092,0.1,True,-3245,5109,8620561.2804,7161913.76,83.08
Part-148,1860,358,1681,1113,12801.2,1.0,1833.3423,0.0,True,-179,755,18355.1024,5553.9,30.26
Part-149,1319,109,1991,514,116564.94,0.9941,1198.7961,0.4,True,672,405,675558.7733,558993.83,82.75
Part-150,2177,209,2715,1019,86860.42,0.9946,2019.0464,0.1,True,538,810,193602.9286,106742.51,55.13
Part-151,1465,232,2156,1436,87999.64,1.0,2342.8537,0.0,True,691,1204,418631.835,330632.2,78.98
Part-152,2700,72,2562,886,343804.4,0.9997,1837.7325,0.2,True,-138,814,1920213.8634,1576409.46,82.1
Part-153,1748,47,1539,767,455075.26,1.0,1212.0871,0.0,True,-209,720,1410173.1367,955097.88,67.73
Part-154,1743,39,1961,759,617343.87,1.0,1567.943,0.0,True,218,720,15640081.3901,15022737.52,96.05
Part-155,2002,267,1504,1993,41076.31,1.0,1668.5596,0.0,True,-498,1726,288754.3828,247678.07,85.77
Part-156,1134,208,1340,345,18369.96,0.996,812.1711,0.3,True,206,137,46014.6103,27644.65,60.08
Part-157,1964,55,2669,1315,1170576.8,0.9998,2503.4795,0.2,True,705,1260,49826891.0006,48656314.2,97.65
Part-158,790,217,1131,799,35580.65,1.0,1139.7222,0.1,True,341,582,330995.9152,295415.27,89.25
Part-159,3568,151,2220,832,42236.28,0.9946,1649.1937,0.1,True,-1348,681,53525.4311,11289.15,21.09
Part-160,2666,53,3213,1471,1386895.24,1.0,2583.2966,0.0,True,547,1418,6419566.5672,5032671.33,78.4
Part-161,4166,39,1810,878,907510.62,1.0,1450.834,0.0,True,-2356,839,2530757.0451,1623246.43,64.14
Part-162,3931,1250,3729,2778,22726.53,1.0,3311.6368,0.0,True,-202,1528,64443.632,41717.1,64.73
Part-163,1996,672,2724,2375,17915.06,0.9971,2376.563,0.1,True,728,1703,114047.3771,96132.32,84.29
Part-164,3192,264,1781,1662,33658.3,0.9998,1865.796,0.2,True,-1411,1398,44707.5446,11049.24,24.71
Part-165,1983,342,2471,1282,21836.62,0.997,1958.0198,0.1,True,488,940,133698.6562,111862.04,83.67
Part-166,2385,168,2185,1382,165205.56,0.9932,1641.8688,0.3,True,-200,1214,366119.1522,200913.59,54.88
Part-167,2858,36,1754,1367,665739.32,0.9981,1533.2906,0.1,True,-1104,1331,3944788.3038,3279048.98,83.12
